Species	Reads
HUGO_IC_seq	122
Xanthomonas campestris	9274
Cutibacterium acnes	9243
Stenotrophomonas maltophilia	8268
Escherichia coli	7381
Brevundimonas naejangsanensis	7310
Acinetobacter guillouiae	5901
Agrobacterium tumefaciens	5153
Pseudomonas aeruginosa	4777
Enterococcus faecalis	4692
Acinetobacter sp. MYb10	4254
Acinetobacter johnsonii	3981
Acinetobacter lwoffii	3028
Delftia tsuruhatensis	2827
Staphylococcus aureus	2801
Bradyrhizobium sp. BTAi1	2558
Listeria monocytogenes	2471
Limosilactobacillus fermentum	2231
Sphingomonas koreensis	1980
Salmonella enterica	1894
Staphylococcus hominis	1806
Alcaligenes faecalis	1774
Yarrowia lipolytica	1715
Massilia sp. UMI-21	1585
Ochrobactrum quorumnocens	1538
Methylomonas clara	1506
Cupriavidus basilensis	1447
Rhodococcus sp. B7740	1433
Rhodococcus sp. YL-1	1408
Brevundimonas diminuta	1224
Sphingomonas paucimobilis	1175
Klebsiella michiganensis	1085
Comamonas thiooxydans	1083
Moraxella osloensis	1076
Paraburkholderia tropica	1029
Porphyrobacter sp. CACIAM 03H1	941
Serratia marcescens	912
Rhizobium oryzihabitans	858
Achromobacter xylosoxidans	829
Sphingobium hydrophobicum	823
Pseudomonas protegens	801
Stenotrophomonas rhizophila	792
Sphingomonas melonis	770
Rhodococcus fascians	733
Microbacterium oxydans	720
Methylobacterium sp. 17Sr1-43	619
Porphyrobacter sp. YT40	607
Microbacterium esteraromaticum	603
Malassezia restricta	575
Sphingomonas sp. AAP5	525
Acinetobacter haemolyticus	465
Deinococcus geothermalis	457
Pseudomonas putida	453
Rhodococcus qingshengii	433
Pseudomonas balearica	428
Klebsiella pneumoniae	419
Rhodococcus erythropolis	391
Cryptococcus neoformans	382
Delftia acidovorans	372
Serratia grimesii	348
Rhodococcus sp. PBTS 2	347
Paraburkholderia fungorum	345
Herbaspirillum huttiense	340
Rhodococcus sp. NJ-530	339
Pseudomonas sp. C27(2019)	332
Acinetobacter baumannii	331
Methylobacterium brachiatum	330
Agromyces aureus	330
Pseudomonas stutzeri	328
Massilia oculi	303
Bradyrhizobium guangzhouense	303
Porphyrobacter sp. LM 6	297
Bacillus thermoamylovorans	293
Sphingobium sp. YG1	292
Sphingobacterium mizutaii	286
Agromyces sp. LHK192	267
Acinetobacter bereziniae	266
Bradyrhizobium sp. CCBAU 53421	265
Comamonas testosteroni	261
Agromyces sp. MF30-A	254
Sphingomonas sp. NIC1	253
Acinetobacter junii	242
Limnobacter sp. SAORIC-580	241
Methylorubrum extorquens	235
Porphyrobacter sp. HT-58-2	230
Agromyces protaetiae	227
Ochrobactrum anthropi	226
Erythrobacter neustonensis	225
Acidovorax sp. JMULE5	224
Acinetobacter pittii	221
Shinella sp. HZN7	221
Methyloversatilis sp. RAC08	217
Aquabacterium olei	213
Kocuria palustris	212
uncultured bacterium	212
Acinetobacter sp. TTH0-4	210
Brevundimonas vancanneytii	204
Cloacibacterium normanense	202
Methylorubrum populi	201
Ralstonia pickettii	201
Agromyces sp. KACC 19306	198
Acinetobacter sp. NEB149	196
Paracoccus sp. Arc7-R13	194
Phyllobacterium zundukense	193
Methylobacterium aquaticum	189
Kocuria rosea	188
Brevundimonas mediterranea	184
Bosea sp. Tri-49	183
Thermus scotoductus	180
